"Occupation Title","Occupation Code","Employment 2024","Employment 2034","Employment Change, 2024-2034","Employment Percent Change, 2024-2034","Occupational Openings, 2024-2034 Annual Average","Median Annual Wage 2024","Typical Entry-Level Education","Education Code","Work Experience in a Related Occupation","Workex Code","Typical on-the-job Training","trCode"
"Entertainers and performers, sports and related workers, all other    * Acrobat* Aerialist* Amusement Park Entertainer* Bareback Rider* Baton Twirler* Clown* Comedian* Fortune Teller* Impersonator* Juggler* Magician* Marionette Performer* Palmist* Professional Poker Player* Prompter* Puppeteer* Ringmaster* Rodeo Performer* Story Teller* Stunt Performer* Tumbler* Ventriloquist* Wire Walker","=""27-2099""","35.8","38.0","2.1","6.0","4.4","N/A","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Entertainment and recreation managers, except gambling    * Amusement Park Manager* Boat Club Manager* Fitness Club Manager* Golf Club Manager* Marina Club Manager* Skating Rink Manager* Ski Resort Manager* Tennis Club Manager* Theme Park Manager","=""11-9072""","43.2","46.5","3.3","7.7","5.5","77,180","Bachelor's degree","3","Less than 5 years","2","None","6"
"Entertainment attendants and related workers, all other    * Jockey Valet","=""39-3099""","8.5","8.8","0.3","3.6","2.2","34,550","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Environmental engineering technologists and technicians    * Air Analysis Engineering Technician* Environmental Engineering Technologist* Environmental Remediation Engineering Technician* Environmental Technician* Pollution Control Engineering Technician","=""17-3025""","12.9","13.0","0.1","1.2","1.1","58,890","Associate's degree","4","None","4","None","6"
"Environmental engineers    * Air Pollution Control Engineer* Environmental Remediation Engineer* Hazardous Substances Engineer* Hazardous Waste Management Control Engineer* Pollution Control Engineer* Soil Engineer* Waste Management Engineer* Wastewater Treatment Engineer* Water Treatment Plant Engineer","=""17-2081""","39.4","41.0","1.5","3.9","3.0","104,170","Bachelor's degree","3","None","4","None","6"
"Environmental science and protection technicians, including health    * Air Quality Technician* Certified Indoor Environmentalist* Environmental Science Technician* Infectious Waste Technician* Pollution Control Technician* Public Health Sanitarian Technician* Radon Inspector","=""19-4042""","40.4","42.1","1.6","4.0","5.6","49,490","Associate's degree","4","None","4","None","6"
"Environmental science teachers, postsecondary    * Environmental Science Professor* Environmental Science, Management and Policy Professor* Environmental Studies Professor","=""25-1053""","9.0","9.3","0.3","2.9","0.7","87,710","Doctoral or professional degree","1","None","4","None","6"
"Environmental scientists and specialists, including health    * Ecological Modeler* Environmental Analyst* Environmental Scientist* Hazardous Substances Scientist* Health Environmentalist* Water Pollution Scientist* Water Quality Analyst","=""19-2041""","90.3","94.3","4.0","4.4","8.5","80,060","Bachelor's degree","3","None","4","None","6"
"Epidemiologists    * Clinical Epidemiologist* Communicable Disease Specialist* Environmental Epidemiologist* Epidemiology Investigator* Malariologist* Medical Epidemiologist* Pharmacoepidemiologist","=""19-1041""","12.3","14.3","2.0","16.2","0.8","83,980","Master's degree","2","None","4","None","6"
"Etchers and engravers    * Engraver* Glass Etcher* Laser Engraver* Machine Engraver* Metal Engraver* Pantograph Engraver* Rotary Engraver* Rubber Engraver","=""51-9194""","8.6","8.6","-0.1","-0.7","0.9","40,450","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Excavating and loading machine and dragline operators, surface mining    * Dragline Oiler* Mining Back Hoe Operator* Mining Backhoe Operator* Mining Bulldozer Operator* Mining Earth Moving Equipment Operator* Mining End Loader Operator* Mining Excavator* Mining Excavator Backhoe Operator* Mining Payloader Operator* Mining Shovel Operator* Mining Yard Loader Operator* Trenching Machine Operator","=""47-5022""","35.8","35.6","-0.1","-0.4","3.1","52,550","High school diploma or equivalent","7","Less than 5 years","2","Moderate-term on-the-job training","4"
"Executive secretaries and executive administrative assistants    * Executive Assistant","=""43-6011""","502.8","494.9","-7.9","-1.6","50.0","74,260","High school diploma or equivalent","7","Less than 5 years","2","None","6"
"Exercise physiologists    * Applied Exercise Physiologist* Clinical Exercise Physiologist* Kinesiotherapist","=""29-1128""","23.9","26.1","2.3","9.5","1.7","58,160","Bachelor's degree","3","None","4","None","6"
"Exercise trainers and group fitness instructors    * Aerobics Instructor* Certified Personal Trainer* Fitness Trainer* Group Exercise Instructor* Group Fitness Instructor* Personal Fitness Trainer* Personal Trainer* Weight Trainer* Weight Training Instructor* Yoga Instructor* Yoga Teacher","=""39-9031""","370.1","414.2","44.1","11.9","74.2","46,180","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Explosives workers, ordnance handling experts, and blasters    * Blast Setter* Blaster* Dynamite Shooter* Dynamiter* Explosive Ordnance Handler* Explosive Technician* Mining Powder Crew Worker* Tier and Detonator* Unexploded Ordnance Quality Control Worker","=""47-5032""","5.8","5.8","-0.1","-0.9","0.5","59,110","High school diploma or equivalent","7","Less than 5 years","2","Long-term on-the-job training","3"
"Extraction workers, all other    * Mine Milling Worker* Mine Tailings Worker* Muck Hauler, Extraction* Sand Filler, Extraction","=""47-5099""","6.3","6.4","0.1","1.4","0.7","50,110","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Extruding and drawing machine setters, operators, and tenders, metal and plastic    * Wire Drawing Machine Tender* Wire Mill Rover","=""51-4021""","66.0","66.8","0.8","1.2","6.5","46,980","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers    * Drawbench Operator* Fiber Machine Tender* Synthetic Filament Extruder","=""51-6091""","15.2","15.0","-0.2","-1.1","2.0","44,980","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders    * Bowling Ball Molder* Brick Maker* Cigarette Stamper* Extrusion Press Operator* Paper Baling Machine Operator* Rubber Extrusion Operator* Sugar Presser* Tuber Operator","=""51-9041""","57.3","58.4","1.1","2.0","5.2","45,130","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Fabric and apparel patternmakers    * Clothing Patternmaker* Embroidery Patternmaker* Fabric Pattern Grader","=""51-6092""","2.8","2.5","-0.3","-10.2","0.3","67,670","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Facilities managers    * Conference Center Manager* Director of University Housing* Stadium Manager","=""11-3013""","151.4","157.1","5.7","3.8","13.2","104,690","Bachelor's degree","3","Less than 5 years","2","None","6"
"Fallers    * Lumberjack* Pulpwood Cutter* Timber Cutter* Timber Faller* Timber Feller","=""45-4021""","5.6","5.2","-0.4","-7.3","0.7","53,900","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Family and consumer sciences teachers, postsecondary    * Family Resource Management Professor* Family and Consumer Sciences Professor* Home Economics Professor* Home and Family Living Professor","=""25-1192""","3.2","3.3","0.1","3.4","0.2","77,280","Doctoral or professional degree","1","None","4","None","6"
"Family medicine physicians    * Board Certified Family Physician* Family Physician* Family Practice Medical Doctor* Family Practice Physician* Family Practitioner* GP Doctor* General Practitioner","=""29-1215""","116.0","119.1","3.1","2.7","3.3","238,380","Doctoral or professional degree","1","None","4","Internship/residency","1"
"Farm and home management educators    * 4-H Youth Development Specialist* Agricultural Agent* Agricultural Extension Educator* Extension Service Advisor* Family Resource Management Specialist* Family and Consumer Sciences Extension Agent* Farm Business Management Agent* Farm Management Specialist* Feed Management Advisor* Home Economics Expert","=""25-9021""","12.4","12.1","-0.3","-2.5","1.1","58,120","Master's degree","2","None","4","None","6"
"Farm equipment mechanics and service technicians    * Agricultural Equipment Mechanic* Combine Mechanic* Dairy Equipment Mechanic* Dairy Equipment Repairer* Harvester Mechanic* Irrigation Equipment Mechanic* Milking Machine Mechanic* Tractor Mechanic","=""49-3041""","39.0","43.3","4.3","11.0","3.7","52,080","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3"
"Farm labor contractors    * Farm Labor Contractor* Harvesting Contractor","=""13-1074""","3.9","4.2","0.2","6.0","0.3","48,690","No formal educational credential","8","Less than 5 years","2","Short-term on-the-job training","5"
"Farmers, ranchers, and other agricultural managers    * Agricultural Crop Farm Manager* Animal Husbandry Manager* Aquaculture Farm Manager* Beef Farm Operator* Christmas Tree Farm Manager* Dairy Farm Manager* Fish Hatchery Manager* Greenhouse Manager* Hatchery Manager* Orchard Manager","=""11-9013""","836.1","825.0","-11.1","-1.3","85.5","87,980","High school diploma or equivalent","7","5 years or more","1","None","6"
"Farmworkers and laborers, crop, nursery, and greenhouse    * Cane Cutter* Carrot Harvester* Citrus Picker* Corn Picker* Cotton Picker* Crop Picker* Flower Picker* Greenhouse Transplanter* Harvest Worker* Harvester* Orchard Hand* Orchard Worker* Pecan Gatherer* Pepper Picker* Vineyard Tender","=""45-2092""","504.8","488.1","-16.8","-3.3","71.7","35,690","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Farmworkers, farm, ranch, and aquacultural animals    * Aquaculture Worker* Barn Hand* Barn Worker* Cattle Brander* Cattle Driver* Chicken Handler* Chicken Vaccinator* Cow Tender* Egg Gatherer* Farrowing Worker* Goat Herder* Groom* Hatchery Worker* Livestock Handler* Poultry Debeaker* Ranch Hand* Sheep Shearer* Shrimp Pond Laborer","=""45-2093""","224.6","213.4","-11.1","-5.0","31.2","36,150","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Fashion designers    * Apparel Designer* Clothes Designer* Clothing Designer* Costume Designer* Custom Furrier* Dance Costume Designer* Dress Designer* Hat Designer* Sweater Designer* Uniform Designer","=""27-1022""","25.7","26.2","0.5","2.0","2.3","80,690","Bachelor's degree","3","None","4","None","6"
"Fast food and counter workers    * Barista* Cafe Server* Cafeteria Server* Concession Stand Attendant* Food Counter Worker* Hot Dog Vender* Ice Cream Server* Mess Attendant* Snack Bar Attendant","=""35-3023""","3,796.0","4,029.2","233.2","6.1","904.3","30,480","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Fence erectors    * Chain Link Fence Installer* Fence Builder* Wire Fence Builder* Wood Fence Installer","=""47-4031""","26.4","27.6","1.2","4.6","2.3","46,940","No formal educational credential","8","None","4","Moderate-term on-the-job training","4"
"Fiberglass laminators and fabricators    * Fiberglass Boat Builder* Fiberglass Fabricator* Fiberglass Grinder* Fiberglass Laminator* Fiberglass Luggage Molder* Fiberglass Machine Operator* Fiberglass Roller* Fiberglass Ski Maker* Fiberglasser","=""51-2051""","18.6","19.4","0.8","4.2","2.1","45,760","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"File clerks    * Cut File Clerk* Document Clerk* File Keeper* Index Clerk* Records Clerk","=""43-4071""","84.3","70.9","-13.4","-15.9","7.3","41,270","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Film and video editors    * Cue Selector* Electronic News Gathering Editor* Film Editor* Movie Editor* News Video Editor* News Videotape Editor* Tape Editor* Television News Video Editor* Video Tape Transferrer","=""27-4032""","43.5","45.2","1.7","4.0","3.6","70,980","Bachelor's degree","3","None","4","None","6"
"Financial and investment analysts    * Corporate Financial Analyst* Corporate Securities Research Analyst* Corporate Statistical Financial Analyst* Institutional Commodity Analyst* Organizational Investment Analyst","=""13-2051""","368.5","389.6","21.1","5.7","25.1","101,350","Bachelor's degree","3","None","4","None","6"
"Financial clerks, all other    * Bank Vault Attendant* Bank Vault Clerk* Bank Vault Custodian* Financial Operations Clerk* Financial Reserve Clerk* Safe Deposit Clerk* Safety Deposit Clerk* Vault Teller","=""43-3099""","38.9","39.4","0.5","1.4","4.0","52,150","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
